Rank,Name,Channel Info,Category,Followers,Posts,Avg Likes,Engagement rate
132,varundvn,Male,Entertainment,44900000,2000,1960,1.80%
133,badbunnypr,Male,Entertainment,44600000,16000,16,9.70%
134,hrithikroshan,Male,Entertainment,44600000,636000,636,2.90%
135,gusttavolima,Male,Entertainment,43900000,5000,5020,0.80%
136,buzzfeedtasty,Community,Food,43900000,10100,10120,0.10%
137,kapilsharma,Male,Entertainment,43800000,1100,1060,1.50%
138,brunamarquezine,Female,Entertainment,43700000,3100,3060,1.40%
139,norafatehi,Female,Entertainment,43600000,1800,1810,2.60%
140,ranveersingh,Male,Entertainment,42500000,1800,1800,1.50%
141,dior,Female,Beauty & Makeup,42300000,10100,10090,0.10%
142,georginagio,Female,Fashion,42200000,778000,778,5.70%
143,cznburak,Male,Entertainment,42200000,1800,1830,2.10%
144,laliga,Community,"Health, Sports & Fitness",41900000,37700,37730,0.10%
145,voguemagazine,Brand,Fashion,41800000,11000,10990,0.30%
146,britneyspears,Female,Entertainment,41700000,3200,3210,1.20%
147,teddysphotos,Male,Entertainment,41400000,64000,64,1.20%
148,virginia,Female,Fashion,41400000,2000,1990,4%
149,saraalikhan95,Female,Entertainment,41400000,889000,889,2.30%
150,marinaruybarbosa,Female,Entertainment,41200000,2100,2120,0.60%
151,princessyahrini,Female,Entertainment,41200000,4600,4570,0.10%
152,jenniferaniston,Female,Entertainment,41100000,110000,110,5.80%
153,worldstar,Community,Entertainment,41000000,101800,101810,0.10%
154,andresiniesta8,Male,"Health, Sports & Fitness",40800000,2100,2090,0.40%
155,natashawilona12,Female,Entertainment,40500000,1200,1240,0.80%
156,rkive,Male,Entertainment,40300000,120000,120,15.30%
157,mahi7781,Male,"Health, Sports & Fitness",40100000,107000,107,10.90%
158,liverpoolfc,Community,"Health, Sports & Fitness",39900000,20500,20460,0.50%
159,prattprattpratt,Male,Entertainment,39900000,753000,753,1.10%
160,addisonraee,Male,Entertainment,39500000,325000,325,5%
161,wizkhalifa,Male,Entertainment,39400000,37000,37,0.80%
162,parineetichopra,Female,Entertainment,39200000,1400,1350,0.90%
163,anushkasen0408,Female,Entertainment,39000000,5500,5470,1.50%
164,chrissyteigen,Female,Entertainment,38600000,5100,5110,0.70%
165,hm,Brand,Fashion,38500000,7500,7480,0.10%
166,wesleysafadao,Male,Entertainment,38300000,9000,9020,0.30%
167,marvelstudios,Community,Entertainment,38200000,2800,2810,1.30%
168,houseofhighlights,Male,"Health, Sports & Fitness",37900000,26900,26920,0.80%
169,eminem,Male,Entertainment,37600000,721000,721,2.40%
170,sachintendulkar,Male,"Health, Sports & Fitness",37500000,1100,1070,1.70%
171,danialves,Male,"Health, Sports & Fitness",37400000,3400,3400,0.80%
172,gisel_la,Female,Entertainment,37400000,10200,10170,0.20%
173,blakelively,Male,Entertainment,37000000,121000,121,5.60%
174,chelseafc,Community,"Health, Sports & Fitness",36600000,17300,17290,0.60%
175,shahidkapoor,Male,Entertainment,36600000,1200,1180,2.40%
176,kimberly.loaiza,Female,Entertainment,36600000,578000,578,4.40%
177,toni.kr8s,Male,"Health, Sports & Fitness",36600000,1000,970,1.20%
178,antogriezmann,Male,"Health, Sports & Fitness",36400000,872000,872,1.80%
179,mercedesbenz,Brand,Technology,36400000,18500,18480,0.30%
180,nattinatasha,Female,Entertainment,36100000,54000,54,1.30%
181,tigerjackieshroff,Male,Entertainment,36100000,2200,2170,1.90%
182,lunamaya,Female,Entertainment,36100000,4200,4170,0.20%
183,mancity,Male,"Health, Sports & Fitness",36000000,19600,19560,0.40%
184,disney,Brand,Entertainment,35800000,7700,7700,0.30%
185,barackobama,Male,News & Politics,35500000,743000,743,1.70%
186,fcbayern,Male,"Health, Sports & Fitness",35400000,16800,16780,0.60%
187,colesprouse,Male,Entertainment,35300000,1100,1140,3.50%
188,shaymitchell,Male,Entertainment,35100000,6300,6310,1.20%
189,ivetesangalo,Female,Entertainment,35000000,7800,7770,0.40%
190,paollaoliveirareal,Female,Entertainment,34900000,4800,4780,0.70%
